,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
74,Spencer Dinwiddie,30,2TM,PG,76,52,2152,.392,17.9,.425,.127,.213,.063,.023,.575,.467,.642,.426,.325,.267,.337,.157,.782,.017,8,.250,.511,2,0,,dinwisp01
74,Spencer Dinwiddie,30,BRK,PG,48,48,1474,.391,17.0,.443,.140,.222,.060,.020,.557,.480,.643,.441,.333,.200,.320,.160,.719,.016,5,.212,.458,2,0,,dinwisp01
74,Spencer Dinwiddie,30,LAL,PG,28,4,678,.397,18.8,.362,.078,.177,.071,.035,.638,.412,.636,.360,.300,.400,.389,.143,.943,.021,3,.367,.606,0,0,,dinwisp01
75,Tre Jones,24,SAS,PG,77,48,2138,.505,11.5,.682,.328,.242,.100,.012,.318,.584,.726,.497,.367,.286,.335,.406,.906,.003,1,.403,.377,2,0,,jonestr01
76,Grant Williams,25,2TM,PF,76,43,2130,.456,16.4,.445,.183,.165,.079,.017,.555,.558,.793,.400,.375,.400,.375,.740,.952,.020,10,.318,.346,1,0,,willigr01
76,Grant Williams,25,DAL,PF,47,33,1242,.413,18.6,.338,.132,.132,.050,.022,.662,.486,.690,.333,.375,.429,.376,.750,.987,.013,2,.386,.370,1,0,,willigr01
76,Grant Williams,25,CHO,PF,29,10,888,.503,14.3,.563,.240,.201,.111,.010,.438,.605,.855,.448,.375,.333,.373,.735,.894,.028,8,.206,.269,0,0,,willigr01
77,Jaren Jackson Jr.,24,MEM,C,66,66,2124,.444,11.9,.685,.221,.390,.066,.008,.315,.501,.630,.439,.455,.333,.320,.491,.932,.034,34,.150,.309,8,0,,jacksja02
78,Tim Hardaway Jr.,31,DAL,SF,79,12,2120,.402,19.7,.388,.093,.087,.102,.106,.612,.478,.725,.365,.450,.379,.353,.685,.858,.016,15,.253,.391,3,0,6MOY-9,hardati02
79,Nic Claxton,24,BRK,C,71,71,2116,.629,3.6,.991,.596,.337,.050,.009,.009,.633,.769,.434,.345,.600,.200,.729,1.000,.328,172,.800,.250,0,0,,claxtni01
80,Jaime Jaquez Jr.,22,MIA,SF,75,20,2113,.489,10.9,.710,.286,.337,.069,.019,.290,.558,.668,.506,.438,.231,.322,.533,.969,.050,29,.510,.320,4,0,ROY-46MOY-9,jaqueja01
81,Taurean Prince,29,LAL,PF,78,49,2108,.442,17.8,.378,.128,.168,.059,.023,.622,.519,.699,.438,.441,.308,.396,.866,.943,.014,7,.410,.363,3,0,,princta02
82,Victor Wembanyama,20,SAS,C,71,71,2106,.465,13.0,.668,.293,.204,.089,.082,.332,.534,.706,.463,.321,.330,.325,.728,.797,.158,165,.056,.545,1,0,ROY-1DPOY-2,wembavi01
83,Jaden McDaniels,23,MIN,SF,72,71,2105,.489,13.6,.594,.220,.237,.107,.030,.406,.592,.783,.497,.507,.263,.337,.620,.988,.092,49,.608,.361,2,0,,mcdanja02
84,Brandon Ingram,26,NOP,SF,64,64,2103,.492,14.4,.762,.147,.155,.280,.179,.238,.534,.753,.449,.512,.462,.355,.415,.779,.034,35,.128,.355,2,0,,ingrabr01
85,Scottie Barnes,22,TOR,SG,60,60,2094,.475,12.4,.686,.271,.268,.079,.069,.314,.536,.733,.429,.297,.446,.341,.462,.911,.084,73,.149,.364,1,0,AS,barnesc01
86,Jusuf Nurkić,29,PHO,C,76,76,2078,.510,6.5,.856,.504,.311,.030,.011,.144,.555,.630,.446,.526,.286,.244,.651,1.000,.104,56,.100,.111,0,0,,nurkiju01
87,Myles Turner,27,IND,C,77,77,2076,.524,13.2,.644,.249,.253,.081,.061,.356,.615,.761,.487,.568,.618,.358,.800,.991,.077,66,.127,.317,1,0,,turnemy01
88,Collin Sexton,25,UTA,SG,78,51,2075,.487,12.3,.687,.203,.346,.098,.039,.313,.530,.744,.451,.402,.439,.394,.418,.805,.027,23,.212,.435,2,0,,sextoco01
89,Cam Thomas,22,BRK,SG,66,51,2075,.442,14.8,.667,.138,.225,.187,.117,.333,.481,.646,.433,.462,.410,.364,.432,.674,.002,2,.126,.500,1,0,,thomaca02
90,Cade Cunningham,22,DET,PG,62,62,2074,.449,13.5,.713,.177,.275,.154,.106,.287,.487,.618,.402,.528,.427,.355,.262,.706,.022,23,.116,.359,5,0,,cunnica01
91,Corey Kispert,24,WAS,SF,80,22,2067,.486,17.7,.395,.200,.149,.038,.009,.605,.643,.780,.525,.400,.571,.383,.752,.967,.030,18,.215,.379,2,0,,kispeco01
92,Saddiq Bey,24,ATL,SF,63,51,2062,.416,14.5,.486,.287,.155,.033,.011,.514,.522,.645,.361,.261,.375,.316,.492,.982,.066,44,.453,.290,1,0,,beysa01
93,Kelly Oubre Jr.,28,PHI,SF,68,52,2055,.441,12.4,.630,.308,.237,.068,.017,.370,.517,.693,.356,.350,.267,.311,.552,.851,.117,86,.308,.330,0,0,,oubreke01
94,Alperen Şengün,21,HOU,C,63,63,2046,.537,7.9,.887,.338,.394,.115,.040,.113,.567,.690,.496,.513,.385,.297,.626,1.000,.075,64,.018,.000,2,0,,sengual01
95,Jimmy Butler,34,MIA,PF,60,60,2042,.499,9.7,.817,.267,.356,.139,.055,.183,.519,.679,.465,.391,.409,.414,.452,.800,.057,41,.483,.443,0,0,,butleji01
96,Alex Caruso,29,CHI,SG,71,57,2040,.468,17.1,.384,.216,.115,.022,.031,.616,.563,.675,.387,.667,.353,.408,.436,.890,.031,15,.363,.397,0,0,DPOY-10,carusal01
97,Terry Rozier,29,2TM,SG,61,60,2040,.443,15.2,.589,.160,.224,.112,.092,.411,.498,.563,.509,.411,.467,.363,.290,.651,.002,2,.280,.383,2,0,,roziete01
97,Terry Rozier,29,CHO,SG,30,30,1065,.459,15.2,.577,.186,.208,.102,.082,.423,.533,.598,.544,.446,.467,.358,.325,.639,.002,1,.254,.305,2,0,,roziete01
97,Terry Rozier,29,MIA,PG,31,30,975,.423,15.1,.604,.129,.245,.125,.105,.396,.458,.500,.473,.375,.468,.371,.242,.667,.002,1,.315,.464,0,0,,roziete01
98,Keldon Johnson,24,SAS,SF,69,27,2038,.454,13.4,.574,.261,.256,.038,.019,.426,.533,.636,.439,.485,.500,.346,.492,.906,.038,28,.300,.327,1,0,,johnske04
99,Kyrie Irving,31,DAL,SG,58,58,2030,.497,15.1,.628,.144,.226,.171,.087,.372,.548,.675,.527,.518,.449,.411,.375,.653,.006,6,.166,.514,1,0,CPOY-7,irvinky01
100,Karl-Anthony Towns,28,MIN,PF,62,62,2026,.504,12.7,.656,.258,.290,.063,.045,.344,.550,.690,.471,.450,.395,.416,.641,.971,.043,35,.089,.414,1,0,AS,townska01
101,Jalen Suggs,22,ORL,SG,75,75,2025,.471,16.7,.461,.204,.137,.078,.041,.539,.556,.712,.480,.321,.483,.397,.486,.869,.048,26,.252,.392,1,0,DPOY-10,suggsja01
102,Keyonte George,20,UTA,PG,75,44,2023,.391,17.9,.460,.075,.228,.104,.053,.540,.459,.689,.425,.447,.302,.334,.366,.701,.015,12,.127,.357,3,0,,georgke01
103,Josh Giddey,21,OKC,SG,80,80,2011,.475,10.9,.713,.283,.336,.064,.030,.287,.530,.671,.425,.519,.400,.337,.522,.963,.006,4,.370,.367,0,0,,giddejo01
104,Bobby Portis,28,MIL,PF,82,4,2008,.508,12.9,.732,.215,.218,.198,.101,.268,.545,.731,.485,.478,.409,.407,.552,.980,.028,22,.419,.408,0,0,6MOY-3,portibo01
105,Aaron Nesmith,24,IND,SF,72,47,1995,.496,15.2,.474,.246,.167,.052,.009,.526,.581,.699,.434,.485,.667,.419,.697,.986,.052,31,.419,.436,0,0,,nesmiaa01
106,Gary Trent Jr.,25,TOR,SG,71,41,1994,.426,18.4,.465,.113,.120,.100,.131,.535,.464,.667,.441,.365,.387,.393,.574,.904,.012,8,.163,.378,0,0,,trentga02
107,Norman Powell,30,LAC,SG,76,3,1990,.486,16.4,.500,.143,.214,.091,.052,.500,.536,.736,.482,.429,.400,.435,.689,.916,.023,15,.320,.545,2,0,6MOY-4,powelno01
108,Immanuel Quickley,24,2TM,SG,68,38,1985,.434,16.8,.516,.114,.224,.125,.053,.484,.471,.696,.405,.446,.319,.395,.387,.667,.006,5,.189,.293,0,0,,quickim01
108,Immanuel Quickley,24,NYK,SG,30,0,720,.454,16.9,.516,.101,.203,.152,.060,.484,.509,.647,.471,.529,.350,.395,.398,.719,.003,1,.278,.289,0,0,,quickim01
108,Immanuel Quickley,24,TOR,PG,38,38,1265,.422,16.7,.515,.122,.236,.109,.048,.485,.448,.721,.371,.377,.296,.395,.380,.636,.007,4,.137,.297,0,0,,quickim01
