,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
421,Damian Jones,28,CLE,C,39,0,270,.597,8.2,.806,.542,.139,.069,.056,.194,.690,.795,.400,.800,.250,.214,.775,1.000,.250,17,.429,.333,0,0,,jonesda03
422,Onuralp Bitim,24,CHI,SG,23,1,268,.381,16.2,.476,.202,.143,.083,.048,.524,.500,.706,.250,.571,.250,.273,.750,1.000,.060,3,.341,.267,0,0,,bitimon01
423,Kira Lewis Jr.,22,3TM,PG,28,0,265,.370,13.1,.641,.250,.261,.076,.054,.359,.508,.609,.542,.429,.000,.121,.433,.750,.011,1,.212,.000,0,0,,lewiski01
423,Kira Lewis Jr.,22,NOP,PG,15,0,144,.308,12.9,.615,.365,.173,.019,.058,.385,.438,.579,.222,1.000,.000,.100,.500,1.000,.019,1,.200,.000,0,0,,lewiski01
423,Kira Lewis Jr.,22,TOR,PG,1,0,2,,,,,,,,,,,,,,,,,,0,,,0,0,,lewiski01
423,Kira Lewis Jr.,22,UTA,PG,12,0,119,.450,13.3,.675,.100,.375,.150,.050,.325,.593,.750,.733,.333,.000,.154,.375,.500,.000,0,.231,.000,0,0,,lewiski01
424,Jamal Cain,24,MIA,PF,26,1,259,.430,13.2,.608,.215,.253,.101,.038,.392,.479,.647,.350,.375,.667,.355,.652,.727,.076,5,.581,.278,0,0,,cainja01
425,Jared Rhoden,24,DET,SG,17,0,245,.500,17.9,.530,.076,.121,.212,.121,.470,.600,.800,.750,.571,.375,.387,.762,1.000,.076,4,.452,.429,1,0,,rhodeja01
426,Justin Champagnie,22,WAS,SF,15,1,235,.410,16.0,.423,.295,.115,.000,.013,.577,.576,.739,.222,,.000,.289,.737,1.000,.038,3,.444,.250,1,1,,champju01
427,Javonte Green,30,CHI,SF,9,5,230,.600,10.2,.640,.493,.133,.013,.000,.360,.729,.730,.700,1.000,,.370,.686,1.000,.173,11,.630,.353,0,0,,greenja02
428,Ibou Badji,21,POR,C,22,1,226,.636,4.2,1.000,.591,.227,.136,.045,.000,.636,.769,.200,.667,1.000,,.500,,.409,7,,,0,0,,badjiib01
429,Collin Gillespie,24,DEN,PG,24,0,225,.464,17.9,.449,.188,.130,.029,.101,.551,.548,.538,.556,1.000,.429,.395,.353,.933,.014,1,.105,.500,0,0,,gilleco01
430,Gabe Vincent,27,LAL,PG,11,0,218,.306,18.8,.429,.122,.122,.041,.143,.571,.571,.667,.667,.500,.429,.107,.500,.667,.000,0,.179,.000,0,0,,vincega01
431,Markieff Morris,34,DAL,PF,26,1,216,.338,20.4,.382,.044,.103,.118,.118,.618,.308,.333,.429,.250,.250,.357,.500,.867,.000,0,.238,.500,0,0,,morrima02
432,Jaylen Nowell,24,2TM,SG,13,1,214,.436,14.5,.628,.103,.269,.128,.128,.372,.571,.625,.429,.700,.700,.207,.536,1.000,.013,1,.172,.200,1,0,,nowelja01
432,Jaylen Nowell,24,MEM,SG,9,1,156,.400,17.3,.582,.036,.255,.164,.127,.418,.563,.500,.429,.667,.714,.174,.444,1.000,.000,0,.174,.250,1,0,,nowelja01
432,Jaylen Nowell,24,DET,SG,4,0,58,.522,11.8,.739,.261,.304,.043,.130,.261,.588,.667,.429,1.000,.667,.333,.700,1.000,.043,1,.167,.000,0,0,,nowelja01
433,Théo Maledon,22,2TM,PG,17,1,213,.286,10.2,.571,.214,.229,.086,.043,.429,.375,.533,.313,.333,.000,.167,.600,1.000,.000,0,.233,.286,2,0,,maledth01
433,Théo Maledon,22,CHO,PG,13,1,200,.288,15.6,.545,.212,.197,.091,.045,.455,.389,.571,.308,.333,.000,.167,.643,1.000,.000,0,.233,.286,2,0,,maledth01
433,Théo Maledon,22,PHO,PG,4,0,13,.250,4.9,1.000,.250,.750,.000,.000,.000,.250,.000,.333,,,,.000,,.000,0,,,0,0,,maledth01
434,Charles Bassey,23,SAS,C,19,0,205,.725,5.0,.975,.650,.100,.200,.025,.025,.744,.846,.750,.500,.000,.000,.793,,.250,10,.000,,0,0,,bassech01
435,Taj Gibson,38,2TM,PF,20,1,204,.405,10.8,.730,.351,.216,.081,.081,.270,.481,.462,.250,1.000,.667,.200,.615,1.000,.054,1,.800,.125,0,0,,gibsota01
435,Taj Gibson,38,NYK,PF,16,1,165,.304,10.1,.739,.391,.217,.000,.130,.261,.412,.444,.200,,.667,.000,.571,,.087,1,1.000,.000,0,0,,gibsota01
435,Taj Gibson,38,DET,PF,4,0,39,.571,11.5,.714,.286,.214,.214,.000,.286,.600,.500,.333,1.000,,.500,.667,1.000,.000,0,.500,.500,0,0,,gibsota01
436,Moses Brown,24,POR,C,22,5,200,.508,3.3,1.000,.492,.462,.031,.015,.000,.508,.656,.400,.000,.000,,.697,,.262,15,,,0,0,,brownmo01
437,Kenneth Lofton Jr.,21,3TM,PF,21,0,199,.462,13.2,.692,.192,.256,.128,.115,.308,.537,.800,.500,.300,.444,.292,.517,1.000,.051,4,.167,.250,0,0,,loftoke01
437,Kenneth Lofton Jr.,21,MEM,PF,15,0,99,.378,13.3,.730,.189,.216,.216,.108,.270,.407,.714,.500,.250,.000,.300,.545,1.000,.081,3,.100,.000,0,0,,loftoke01
437,Kenneth Lofton Jr.,21,PHI,PF,2,0,9,.167,12.5,.667,.333,.167,.167,.000,.333,.250,.500,.000,.000,,.000,1.000,,.000,0,.000,,0,0,,loftoke01
437,Kenneth Lofton Jr.,21,UTA,PF,4,0,91,.600,13.8,.657,.171,.314,.029,.143,.343,.739,1.000,.545,1.000,.800,.333,.471,1.000,.029,1,.250,.333,0,0,,loftoke01
438,Kobe Bufkin,20,ATL,SG,17,0,196,.370,17.5,.565,.098,.141,.163,.163,.435,.481,.556,.462,.467,.467,.225,.320,.667,.000,0,.250,.100,0,0,,bufkiko01
439,Colby Jones,21,SAC,SG,30,0,192,.394,12.1,.690,.183,.338,.155,.014,.310,.531,.462,.583,.455,1.000,.091,.538,1.000,.014,1,.364,.125,0,0,,jonesco02
440,Gui Santos,21,GSW,PF,23,0,192,.509,13.9,.509,.345,.164,.000,.000,.491,.643,.737,.444,,,.370,.667,.900,.036,2,.296,.500,0,0,,santogu01
441,Terry Taylor,24,CHI,PF,31,0,188,.513,7.5,.769,.564,.179,.026,.000,.231,.600,.636,.571,.000,,.222,.667,1.000,.051,1,.778,.286,0,0,,taylote01
442,Micah Potter,25,UTA,PF,16,0,186,.475,14.4,.475,.200,.275,.000,.000,.525,.526,.625,.455,,,.429,.600,1.000,.075,3,.667,.571,0,0,,pottemi01
443,Saben Lee,24,PHO,PG,24,0,185,.364,9.6,.709,.382,.309,.000,.018,.291,.462,.571,.353,,.000,.125,.500,1.000,.109,4,.625,.100,0,0,,leesa01
444,Otto Porter Jr.,30,TOR,SF,15,1,174,.424,18.9,.303,.182,.030,.091,.000,.697,.600,.500,1.000,.667,,.348,1.000,.875,.030,0,.391,.444,0,0,,porteot01
445,AJ Griffin,20,ATL,SF,20,0,171,.290,19.5,.371,.048,.194,.065,.065,.629,.348,.667,.250,.500,.250,.256,.750,.800,.016,1,.205,.250,0,0,,griffaj01
446,Joe Harris,32,DET,SG,16,0,170,.359,20.3,.231,.103,.128,.000,.000,.769,.444,.500,.400,,,.333,1.000,1.000,.000,0,.467,.500,0,0,,harrijo01
447,Trevelin Queen,26,ORL,SG,14,0,165,.368,14.0,.553,.237,.211,.053,.053,.447,.524,.778,.375,.000,.500,.176,.727,.667,.132,5,.353,.167,0,0,,queentr01
448,Zavier Simpson,26,MEM,PG,7,0,161,.315,13.4,.685,.167,.333,.093,.093,.315,.324,.667,.222,.000,.400,.294,.250,.800,.019,0,.118,.000,0,0,,simpsza01
449,Thanasis Antetokounmpo,31,MIL,PF,34,0,155,.533,3.7,.967,.767,.167,.000,.033,.033,.552,.609,.400,,.000,.000,.750,,.333,7,1.000,.000,0,0,,antetth01
450,Tristan Vukcevic,20,WAS,C,10,4,153,.433,16.8,.463,.209,.164,.060,.030,.537,.613,.929,.364,.500,.000,.278,.842,.900,.060,3,.083,.000,0,0,,vukcetr01
451,Darius Bazley,23,2TM,PF,9,0,152,.600,5.5,.733,.333,.333,.067,.000,.267,.727,.900,.600,.500,,.250,.500,1.000,.233,6,.625,.400,0,0,,bazleda01
451,Darius Bazley,23,PHI,PF,3,0,10,.000,0.8,1.000,1.000,.000,.000,.000,.000,.000,.000,,,,,,,1.000,0,,,0,0,,bazleda01
451,Darius Bazley,23,UTA,PF,6,0,142,.621,10.2,.724,.310,.345,.069,.000,.276,.762,1.000,.600,.500,,.250,.500,1.000,.207,6,.625,.400,0,0,,bazleda01
452,DeJon Jarreau,26,MEM,SG,9,0,150,.340,12.5,.740,.260,.280,.100,.100,.260,.351,.538,.286,.400,.000,.308,.077,1.000,.040,2,.154,.000,0,0,,jarrede01
453,Jules Bernard,24,WAS,SG,19,0,149,.453,14.0,.547,.328,.172,.031,.016,.453,.514,.571,.455,.500,.000,.379,.278,.909,.016,1,.172,.600,0,0,,bernaju01
454,Jeff Dowtin,26,PHI,PG,12,0,142,.556,15.5,.472,.306,.083,.083,.000,.528,.647,.818,.000,.667,,.474,.455,.556,.028,1,.105,.500,0,0,,dowtije01
455,Sidy Cissoko,19,SAS,SF,12,0,141,.485,10.4,.636,.424,.212,.000,.000,.364,.714,.857,.429,,,.083,.800,1.000,.333,10,.500,.167,0,0,,cissosi01
456,Brandon Clarke,27,MEM,PF,6,1,134,.559,9.2,.898,.254,.373,.186,.085,.102,.604,.600,.682,.545,.400,.167,.781,1.000,.034,2,.667,.250,0,0,,clarkbr01
457,Emoni Bates,20,CLE,SF,15,0,133,.306,20.5,.327,.143,.041,.041,.102,.673,.313,.286,.000,.500,.400,.303,.200,1.000,.020,0,.182,.500,0,0,,batesem01
458,Dru Smith,26,MIA,SG,9,0,131,.455,15.4,.485,.273,.121,.061,.030,.515,.500,.667,.500,.000,.000,.412,.500,.857,.000,0,.235,.750,0,0,,smithdr01
459,Jeenathan Williams,24,HOU,SG,22,0,129,.540,5.9,.900,.460,.380,.040,.020,.100,.556,.826,.316,.000,.000,.400,.400,1.000,.100,5,.800,.250,0,0,,willije02
460,T.J. Warren,30,MIN,SF,11,0,125,.439,13.5,.683,.171,.171,.244,.098,.317,.571,1.000,.429,.300,.750,.154,.813,1.000,.000,0,.308,.250,0,0,,warretj01
461,Timmy Allen,24,MEM,SF,5,0,125,.261,14.6,.696,.130,.174,.261,.130,.304,.375,.333,.500,.333,.333,.000,.333,,.000,0,.714,.000,0,0,,allenti01
462,Jalen Pickett,24,DEN,SG,27,0,122,.429,22.6,.286,.029,.057,.086,.114,.714,.600,1.000,.500,.333,.750,.360,.500,.778,.000,0,.040,.000,1,0,,pickeja02
463,Luka Garza,25,MIN,C,25,0,122,.480,13.6,.573,.187,.347,.040,.000,.427,.628,.714,.538,1.000,,.281,.556,1.000,.027,2,.031,.000,0,0,,garzalu01
464,Mãozinha Pereira,23,MEM,SF,7,1,122,.514,11.7,.629,.400,.229,.000,.000,.371,.591,.714,.375,,,.385,.692,1.000,.314,9,.462,.500,1,0,,pereima01
465,Jahmi'us Ramsey,22,TOR,SG,7,1,121,.439,15.9,.463,.293,.073,.073,.024,.537,.632,.750,.000,.667,1.000,.273,.583,1.000,.098,4,.273,.333,0,0,,ramseja01
466,Marques Bolden,25,2TM,C,11,2,121,.680,5.4,.960,.440,.320,.200,.000,.040,.708,.818,.875,.200,,.000,.824,,.200,5,.000,,0,0,,boldema01
466,Marques Bolden,25,MIL,C,2,0,3,,,,,,,,,,,,,,,,,,0,,,0,0,,boldema01
466,Marques Bolden,25,CHO,C,9,2,118,.680,5.4,.960,.440,.320,.200,.000,.040,.708,.818,.875,.200,,.000,.824,,.200,5,.000,,0,0,,boldema01
467,Mouhamadou Gueye,25,TOR,PF,11,0,120,.289,6.0,.921,.395,.474,.026,.026,.079,.314,.467,.222,.000,.000,.000,.727,,.211,6,.000,,0,0,,gueyemo01
468,Xavier Moon,29,LAC,SG,14,1,119,.326,16.2,.630,.065,.217,.217,.130,.370,.448,.000,.400,.600,.500,.118,.308,.500,.000,0,.059,.000,0,0,,moonxa01
469,Robert Williams,26,POR,C,6,0,119,.654,5.8,1.000,.500,.269,.038,.192,.000,.654,.769,.429,1.000,.600,,.529,,.269,5,,,0,0,,williro04
470,Brandon Williams,24,DAL,PG,17,0,113,.370,12.2,.722,.259,.259,.093,.111,.278,.436,.571,.286,.400,.500,.200,.353,.667,.037,1,.133,.000,0,0,,willibr03
471,Udoka Azubuike,24,PHO,C,16,0,113,.696,2.7,1.000,.696,.261,.043,.000,.000,.696,.813,.500,.000,,,.563,,.522,10,,,0,0,,azubuud01
472,Matthew Hurt,23,MEM,PF,8,0,113,.353,19.5,.412,.088,.118,.029,.176,.588,.500,.667,.500,.000,.500,.250,.571,1.000,.000,0,.250,.400,0,0,,hurtma01
473,Jalen Hood-Schifino,20,LAL,SG,21,0,109,.222,16.1,.667,.111,.222,.089,.244,.333,.267,.600,.100,.250,.273,.133,.625,1.000,.022,1,.067,.000,0,0,,hoodsja01
474,Dylan Windler,27,3TM,SF,17,0,108,.500,23.8,.100,.067,.000,.033,.000,.900,.667,1.000,,.000,,.481,1.000,.846,.000,0,.370,.400,0,0,,windldy01
474,Dylan Windler,27,NYK,SF,3,0,7,.500,25.2,.000,.000,.000,.000,.000,1.000,,,,,,.500,,1.000,.000,0,.500,.000,0,0,,windldy01
474,Dylan Windler,27,LAL,SF,8,0,28,.444,24.3,.111,.000,.000,.111,.000,.889,.000,,,.000,,.500,,1.000,.000,0,.250,.500,0,0,,windldy01
474,Dylan Windler,27,ATL,SF,6,0,73,.526,22.0,.105,.105,.000,.000,.000,.895,1.000,1.000,,,,.471,1.000,.750,.000,0,.412,.429,0,0,,windldy01
475,Malik Williams,25,TOR,C,7,2,107,.265,7.4,.853,.471,.235,.118,.029,.147,.276,.375,.250,.000,.000,.200,.500,1.000,.118,2,.200,.000,0,0,,willima11
476,Armoni Brooks,25,BRK,PG,10,0,104,.326,20.0,.304,.109,.152,.022,.022,.696,.286,.000,.571,.000,.000,.344,.750,.909,.000,0,.063,.000,0,0,,brookar01
477,Maxwell Lewis,21,LAL,SF,34,0,103,.190,14.3,.571,.238,.190,.048,.095,.429,.250,.200,.250,.000,.500,.111,.333,1.000,.048,0,.000,,0,0,,lewisma05
478,Harry Giles,25,2TM,C,23,0,100,.460,12.5,.720,.360,.260,.060,.040,.280,.556,.667,.462,.333,.500,.214,.700,1.000,.120,5,.357,.200,0,0,,gilesha01
478,Harry Giles,25,BRK,C,16,0,81,.500,9.8,.750,.386,.250,.068,.045,.250,.576,.647,.545,.333,.500,.273,.684,1.000,.136,5,.273,.333,0,0,,gilesha01
478,Harry Giles,25,LAL,C,7,0,19,.167,15.2,.500,.167,.333,.000,.000,.500,.333,1.000,.000,,,.000,1.000,,.000,0,.667,.000,0,0,,gilesha01
479,Olivier Sarr,24,OKC,C,15,0,98,.579,8.9,.684,.579,.105,.000,.000,.316,.692,.818,.000,,,.333,.889,1.000,.263,5,.500,.667,0,0,,sarrol01
480,Jamaree Bouyea,24,2TM,PG,9,0,95,.357,11.7,.679,.286,.321,.036,.036,.321,.474,.625,.222,1.000,1.000,.111,.444,1.000,.000,0,.000,,1,0,,bouyeja01
480,Jamaree Bouyea,24,POR,PG,6,0,57,.238,15.6,.619,.238,.333,.000,.048,.381,.385,.600,.143,,1.000,.000,.400,,.000,0,.000,,1,0,,bouyeja01
480,Jamaree Bouyea,24,SAS,PG,3,0,38,.714,7.8,.857,.429,.286,.143,.000,.143,.667,.667,.500,1.000,,1.000,.500,1.000,.000,0,.000,,0,0,,bouyeja01
481,Josh Minott,21,MIN,SF,32,0,91,.472,9.1,.722,.444,.278,.000,.000,.278,.500,.625,.300,,,.400,.615,1.000,.139,4,.300,.333,0,0,,minotjo01
482,Chris Livingston,20,MIL,SF,21,0,90,.500,7.9,.773,.545,.227,.000,.000,.227,.588,.667,.400,,,.200,.500,1.000,.045,1,.600,.333,0,0,,livinch01
483,Cole Swider,24,MIA,SF,18,0,87,.395,22.1,.211,.079,.053,.026,.053,.789,.625,1.000,.000,1.000,.500,.333,.800,1.000,.053,2,.267,.500,0,0,,swideco01
484,Admiral Schofield,26,ORL,PF,23,0,84,.385,18.2,.385,.192,.115,.000,.077,.615,.400,.600,.000,,.500,.375,.500,1.000,.154,2,.250,.500,0,0,,schofad01
485,Terquavion Smith,21,PHI,PG,16,0,84,.391,21.1,.239,.174,.022,.022,.022,.761,.455,.625,.000,.000,.000,.371,.200,.846,.043,2,.086,.333,0,0,,smithte01
486,Buddy Boeheim,24,DET,SF,10,0,84,.310,23.9,.138,.034,.034,.034,.034,.862,.250,.000,.000,1.000,.000,.320,1.000,1.000,.000,0,.200,.200,0,0,,boehebu01
487,Jordan Walsh,19,BOS,SF,9,1,83,.400,16.1,.400,.267,.133,.000,.000,.600,.667,.750,.500,,,.222,.750,1.000,.333,4,.444,.000,0,0,,walshjo01
488,Jerome Robinson,26,GSW,SG,22,0,81,.333,15.5,.485,.242,.212,.000,.030,.515,.563,.750,.429,,.000,.118,1.000,1.000,.061,2,.235,.000,0,0,,robinje01
489,James Bouknight,23,CHO,SG,14,0,81,.439,20.2,.268,.171,.049,.024,.024,.732,.455,.714,.000,.000,.000,.433,.400,.538,.024,1,.233,.286,0,0,,bouknja01
490,Wenyen Gabriel,26,MEM,PF,5,0,81,.364,8.6,.727,.545,.091,.091,.000,.273,.438,.500,.500,.000,,.167,.714,1.000,.136,2,.500,.333,0,0,,gabriwe01
491,Ryan Rollins,21,2TM,PG,13,0,78,.519,12.8,.852,.296,.333,.222,.000,.148,.478,.750,.333,.333,,.750,.091,.667,.000,0,.250,1.000,0,0,,rolliry01
491,Ryan Rollins,21,WAS,PG,10,0,66,.520,8.4,.880,.320,.360,.200,.000,.120,.500,.750,.333,.400,,.667,.091,.500,.000,0,.000,,0,0,,rolliry01
491,Ryan Rollins,21,MIL,PG,3,0,12,.500,17.2,.500,.000,.000,.500,.000,.500,.000,,,.000,,1.000,,1.000,.000,0,1.000,1.000,0,0,,rolliry01
492,R.J. Hampton,22,MIA,PG,8,2,76,.286,17.0,.429,.143,.143,.143,.000,.571,.500,.500,.500,.500,,.125,.333,1.000,.000,0,.375,.000,0,0,,hamptrj01
493,Wendell Moore Jr.,22,MIN,SG,25,0,75,.500,13.0,.667,.222,.167,.222,.056,.333,.750,1.000,.667,.750,.000,.000,.556,,.056,1,.333,.000,0,0,,moorewe01
494,Nate Hinton,24,HOU,SG,15,0,75,.423,16.0,.462,.269,.115,.000,.077,.538,.333,.429,.333,,.000,.500,.250,.714,.000,0,.143,.000,0,0,,hintona01
495,Mouhamed Gueye,21,ATL,PF,6,0,73,.348,11.6,.609,.348,.217,.043,.000,.391,.357,.500,.200,.000,,.333,1.000,1.000,.174,3,.444,.000,0,0,,gueyemo02
496,Isaiah Mobley,24,CLE,PF,10,0,72,.417,12.3,.583,.375,.167,.042,.000,.417,.500,.778,.000,.000,,.300,.429,1.000,.083,2,.400,.250,0,0,,mobleis01
497,Boban Marjanović,35,HOU,C,14,0,71,.529,6.7,.941,.294,.529,.088,.029,.059,.563,.900,.444,.333,.000,.000,.722,,.206,7,.000,,0,0,,marjabo01
498,Jason Preston,24,UTA,PG,7,0,71,.316,9.9,.842,.105,.579,.158,.000,.158,.375,.500,.273,.667,,.000,.333,,.000,0,.333,.000,0,0,,prestja01
499,Jett Howard,20,ORL,SF,18,0,67,.333,23.7,.167,.033,.067,.033,.033,.833,.600,.000,1.000,1.000,.000,.280,1.000,.714,.000,0,.080,.000,0,0,,howarje01
500,Kobi Simmons,26,TOR,PG,4,0,67,.429,13.1,.619,.286,.190,.095,.048,.381,.538,.500,.500,1.000,.000,.250,.429,1.000,.048,1,.500,.000,0,0,,simmoko01
501,Keyontae Johnson,23,OKC,SF,9,0,66,.313,7.7,.813,.438,.313,.063,.000,.188,.308,.286,.200,1.000,,.333,.500,1.000,.063,1,.333,1.000,0,0,,johnske08
502,Adama Sanogo,21,CHI,PF,9,0,66,.519,3.1,1.000,.556,.407,.037,.000,.000,.519,.667,.273,1.000,,,.500,,.000,0,,,0,0,,sanogad01
503,Robin Lopez,35,MIL,C,16,2,65,.368,14.2,.579,.000,.579,.000,.000,.421,.455,,.455,,,.250,.800,1.000,.000,0,.625,.400,0,0,,lopezro01
504,Amari Bailey,19,CHO,PG,10,0,65,.333,13.5,.667,.333,.042,.167,.125,.333,.438,.500,1.000,.250,.333,.125,.286,1.000,.125,2,.125,1.000,0,0,,baileam01
505,Moussa Diabaté,22,LAC,C,11,0,64,.526,3.2,1.000,.579,.368,.053,.000,.000,.526,.727,.286,.000,,,.500,,.316,4,,,0,0,,diabamo01
506,Jack White,26,MEM,SF,4,0,64,.125,17.1,.375,.250,.063,.063,.000,.625,.000,.000,.000,.000,,.200,,1.000,.000,0,.200,.000,0,0,,whiteja03
507,Kendall Brown,20,IND,SG,15,0,63,.533,7.0,.867,.400,.333,.133,.000,.133,.615,.667,.800,.000,,.000,.750,,.200,3,.500,.000,0,0,,brownke03
508,Ish Wainright,29,2TM,SF,11,0,62,.292,21.7,.167,.000,.125,.042,.000,.833,.000,,.000,.000,,.350,,1.000,.000,0,.250,.600,0,0,,wainris01
508,Ish Wainright,29,POR,SF,7,0,46,.333,23.8,.111,.000,.056,.056,.000,.889,.000,,.000,.000,,.375,,1.000,.000,0,.313,.600,0,0,,wainris01
508,Ish Wainright,29,PHO,SF,4,0,16,.167,19.5,.333,.000,.333,.000,.000,.667,.000,,.000,,,.250,,1.000,.000,0,.000,,0,0,,wainris01
509,Keon Johnson,21,BRK,SG,5,0,61,.381,17.5,.524,.190,.095,.048,.190,.476,.364,.500,.500,.000,.250,.400,.750,1.000,.048,1,.100,1.000,0,0,,johnske07
510,Braxton Key,26,DEN,SF,20,0,60,.412,10.2,.706,.412,.235,.000,.059,.294,.417,.429,.250,,1.000,.400,1.000,1.000,.000,0,.200,.000,0,0,,keybr01
511,Jermaine Samuels,25,HOU,SF,14,0,60,.643,5.6,.857,.500,.357,.000,.000,.143,.750,.857,.600,,,.000,.556,,.071,1,1.000,.000,0,0,,samueje01
512,Colin Castleton,23,LAL,C,16,0,59,.563,3.6,1.000,.500,.438,.063,.000,.000,.563,.625,.429,1.000,,,.667,,.188,3,,,0,0,,castlco01
513,TyTy Washington Jr.,22,MIL,PG,11,0,56,.300,17.5,.700,.050,.200,.100,.350,.300,.286,1.000,.250,.500,.143,.333,.500,1.000,.000,0,.167,1.000,0,0,,washity02
514,Dereon Seabron,23,NOP,SG,6,0,55,.308,7.9,.846,.385,.231,.231,.000,.154,.273,.400,.000,.333,,.500,.000,1.000,.000,0,.500,.000,0,0,,seabrde01
515,Juan Toscano-Anderson,30,SAC,SF,11,0,53,.250,9.7,.667,.417,.250,.000,.000,.333,.250,.400,.000,,,.250,1.000,1.000,.083,1,.750,.333,0,0,,toscaju01
516,Leonard Miller,20,MIN,SF,17,0,52,.650,10.5,.750,.450,.100,.100,.100,.250,.733,.778,.500,.500,1.000,.400,.636,1.000,.000,0,.400,.500,0,0,,millele01
517,Seth Lundy,23,ATL,SF,9,0,52,.235,21.1,.235,.059,.118,.000,.059,.765,.250,.000,.000,,1.000,.231,1.000,1.000,.000,0,.308,.250,0,0,,lundyse01
518,David Duke Jr.,24,SAS,SG,4,0,51,.556,12.6,.667,.333,.167,.056,.111,.333,.583,.833,.333,.000,.500,.500,.714,1.000,.000,0,.333,.500,0,0,,dukeda01
519,Daishen Nix,21,MIN,PG,15,0,50,.375,19.3,.292,.083,.208,.000,.000,.708,.429,1.000,.200,,,.353,.333,.667,.042,1,.176,.000,0,0,,nixda01
520,Jay Huff,25,DEN,C,20,0,49,.600,16.8,.400,.267,.133,.000,.000,.600,1.000,1.000,1.000,,,.333,1.000,1.000,.067,1,.000,,0,0,,huffja01
521,Hunter Tyson,23,DEN,PF,18,0,48,.400,20.9,.300,.100,.050,.050,.100,.700,.667,.500,1.000,.000,1.000,.286,1.000,1.000,.050,1,.071,1.000,0,0,,tysonhu01
522,James Johnson,36,IND,PF,9,0,47,.300,11.1,.800,.200,.400,.200,.000,.200,.375,1.000,.250,.000,,.000,.333,,.200,2,.000,,0,0,,johnsja01
523,DaQuan Jeffries,26,NYK,SG,17,0,46,.353,18.1,.412,.059,.176,.176,.000,.588,.571,1.000,.667,.333,,.200,1.000,1.000,.000,0,.400,.250,0,0,,jeffrda01
524,Ryan Arcidiacono,29,NYK,PG,20,0,45,.000,26.3,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,,arcidry01
525,Frank Ntilikina,25,CHO,PG,5,0,43,.111,24.2,.111,.000,.000,.000,.111,.889,.000,,,,.000,.125,,1.000,.000,0,.375,.000,0,0,,ntilila01
526,Oscar Tshiebwe,24,IND,PF,8,0,42,.500,5.0,1.000,.350,.550,.000,.100,.000,.500,.571,.455,,.500,,.800,,.100,2,,,0,0,,tshieos01
527,D'Moi Hodge,25,LAL,SG,7,0,41,.333,21.8,.200,.133,.000,.000,.067,.800,.667,.500,,,1.000,.250,1.000,1.000,.000,0,.250,.333,0,0,,hodgedm01
528,Greg Brown III,22,DAL,PF,6,0,40,.455,8.5,.727,.636,.091,.000,.000,.273,.500,.571,.000,,,.333,.750,1.000,.273,2,.000,,0,0,,browngr01
529,Taze Moore,25,POR,SG,4,0,40,.421,11.9,.632,.368,.211,.000,.053,.368,.583,1.000,.000,,.000,.143,.429,1.000,.105,2,.286,.000,0,0,,mooreta02
530,Alex Fudge,20,2TM,SF,6,0,40,.400,12.6,.667,.333,.200,.067,.067,.333,.500,.600,.333,1.000,.000,.200,.400,1.000,.200,2,.600,.333,0,0,,fudgeal01
530,Alex Fudge,20,LAL,SF,4,0,14,.167,15.9,.667,.000,.333,.167,.167,.333,.250,,.000,1.000,.000,.000,.000,,.000,0,.500,.000,0,0,,fudgeal01
530,Alex Fudge,20,DAL,SF,2,0,26,.556,9.4,.667,.556,.111,.000,.000,.333,.667,.600,1.000,,,.333,.500,1.000,.333,2,.667,.500,0,0,,fudgeal01
531,JD Davison,21,BOS,SG,8,0,39,.417,19.2,.417,.083,.167,.000,.167,.583,.400,1.000,.000,,.500,.429,1.000,1.000,.000,0,.143,.000,0,0,,davisjd01
532,RaiQuan Gray,24,SAS,PF,3,0,39,.588,12.8,.588,.235,.353,.000,.000,.412,.700,.750,.667,,,.429,.571,1.000,.059,1,.143,.000,0,0,,grayra01
533,Jacob Toppin,23,NYK,SF,9,0,38,.556,14.1,.556,.222,.222,.000,.111,.444,.800,1.000,.500,,1.000,.250,.750,1.000,.333,3,.250,.000,0,0,,toppija01
534,Jalen Slawson,24,SAC,SF,12,0,37,.667,11.1,.667,.500,.000,.167,.000,.333,1.000,1.000,,1.000,,.000,.750,,.167,1,.000,,0,0,,slawsja01
535,Charlie Brown Jr.,26,NYK,SG,8,0,37,.200,19.0,.300,.100,.200,.000,.000,.700,.000,.000,.000,,,.286,,1.000,.000,0,.286,.500,0,0,,brownch02
536,D.J. Carton,23,TOR,SG,4,0,36,.375,14.4,.500,.250,.250,.000,.000,.500,.500,.500,.500,,,.250,.500,1.000,.000,0,.750,.333,0,0,,cartodj01
